campo,valor,n
descripcion_negocio,Cuidado de Niños,1
descripcion_negocio,"Belleza, cuidado del cabello y del rostro, manicure pedicure, pestañas",1
descripcion_negocio,Todo lo relacionado con prendas de vestir para dama y ropa deportiva,1
descripcion_negocio,Uñas semipermanentes acrilicas y planchado,1
descripcion_negocio,"Injertos , frutales , cacao , plantulacion",1
descripcion_negocio,Tinto cade jugos naturales etc,1
descripcion_negocio,"Flores, peluches y detalles",1
descripcion_negocio,Perfumería y ropa por catálogo,1
descripcion_negocio,"Desayunos sorpresas, decoración con globos",1
descripcion_negocio,Venta de pollo Fresco de alta calidad,1
descripcion_negocio,Bolsa y bolsos forro de canastas y arreglos de ropa,1
descripcion_negocio,"Papelería , piñateria , juguetería ,pagos de servicios públicos",1
descripcion_negocio,Confeccion y venta de prendas de vestir excepto cuero de dama caballero y niños,1
descripcion_negocio,Trabajo Katerin para eventos,1
descripcion_negocio,Todo lo relacionado con comida de mar,1
descripcion_negocio,Ofrecemos el servicio de lavado de vehículos y muebles de hogar a domicilio,1
descripcion_negocio,"Bolso tejidos en lana e hilo. Collares, aretes, manillas, pectorales en chaquiras.",1
descripcion_negocio,Apoyo a la agricultura en fincas bananeras,1
descripcion_negocio,Venta de mecedoras a crédito,1
descripcion_negocio,Venta de productos mascotas,1
descripcion_negocio,Venta y compra de ganado vacuno,1
descripcion_negocio,"Bar y Licores, cocteles y bebidas refrescantes",1
