credito_id_anon,cliente_id_anon,fecha_desembolso,numero_cuota,dias_retraso,fecha_t_pago,fecha_pago,valor_pagado,estatus_credito,ciudad,sexo,tipo_de_negocio,origen,max_dias_retraso,target
c4f18e776d7b,d538e7dd7309,2022-02-17,1,17.0,2022-03-18,2022-04-04,105000.0,PAGO,LOC_301,0,SEC_64,CANAL_17,17.0,1.0
75e3acb0bbe5,161b2dd558b1,2022-02-17,1,59.0,2022-03-18,2022-05-16,105000.0,PAGO,LOC_301,1,SEC_22,CANAL_17,59.0,
5a503afdd039,75198bc094d1,2022-02-17,1,788.0,2022-03-18,,0.0,ACTIVO,LOC_155,1,SEC_10,CANAL_17,788.0,0.0
73530bf151b2,ebe8c5c03cb3,2022-02-17,1,788.0,2022-03-18,,0.0,ACTIVO,LOC_218,1,SEC_29,CANAL_17,788.0,0.0
1f7100e065e4,21a0c562089d,2022-02-21,1,0.0,2022-03-18,2022-03-18,105000.0,PAGO,LOC_627,0,SEC_47,CANAL_17,0.0,1.0
78dd6ac6734b,90b16ac085b5,2022-02-16,1,788.0,2022-03-18,,0.0,ACTIVO,LOC_218,0,SEC_22,CANAL_17,788.0,0.0
5404958d0de1,17231265385c,2022-02-18,1,786.0,2022-03-20,,0.0,ACTIVO,LOC_627,1,SEC_67,CANAL_17,786.0,0.0
99ee43b2959b,013b958688b6,2022-02-18,1,786.0,2022-03-20,,0.0,ACTIVO,LOC_301,1,SEC_44,CANAL_17,786.0,0.0
f05544b58358,7baf972588b0,2022-02-21,1,786.0,2022-03-20,,0.0,ACTIVO,LOC_382,0,SEC_45,CANAL_17,786.0,0.0
f4658afc3e81,d8c820a7ea48,2022-02-18,1,786.0,2022-03-20,,0.0,ACTIVO,LOC_218,0,SEC_22,CANAL_17,786.0,0.0
3ab39bdd1019,953b5d2babe4,2022-02-21,1,0.0,2022-03-21,2022-03-18,105000.0,PAGO,LOC_218,0,SEC_14,CANAL_17,0.0,1.0
0bf7643cbcea,cbcd0db543d8,2022-02-22,1,782.0,2022-03-24,,0.0,ACTIVO,LOC_218,0,SEC_01,CANAL_17,782.0,0.0
0bf7643cbcea,cbcd0db543d8,2022-02-22,2,752.0,2022-04-23,,0.0,ACTIVO,LOC_218,0,SEC_01,CANAL_17,782.0,0.0
0bf7643cbcea,cbcd0db543d8,2022-02-22,3,722.0,2022-05-23,,0.0,ACTIVO,LOC_218,0,SEC_01,CANAL_17,782.0,0.0
0bf7643cbcea,cbcd0db543d8,2022-02-22,4,662.0,2022-07-22,,0.0,ACTIVO,LOC_218,0,SEC_01,CANAL_17,782.0,0.0
0bf7643cbcea,cbcd0db543d8,2022-02-22,5,662.0,2022-07-22,,0.0,ACTIVO,LOC_218,0,SEC_01,CANAL_17,782.0,0.0
8d32c6736989,0f39a6769012,2022-02-24,1,783.0,2022-03-23,,0.0,ACTIVO,LOC_170,0,SEC_55,CANAL_17,783.0,0.0
64eb8e0ffcf1,ebc87d1bd2e3,2022-02-24,1,0.0,2022-03-25,2022-03-24,105000.0,PAGO,LOC_218,1,SEC_44,CANAL_17,0.0,1.0
9ec865117e52,069c7a72a806,2022-02-24,1,781.0,2022-03-25,,0.0,ACTIVO,LOC_218,0,SEC_45,CANAL_17,781.0,0.0
d537b6152870,cb0bff85e1bf,2022-02-24,1,292.0,2022-03-25,2023-01-11,105000.0,PAGO,LOC_301,1,SEC_69,CANAL_17,292.0,0.0
56c50900ec27,d99dd5b536dd,2022-02-24,1,781.0,2022-03-25,,0.0,ACTIVO,LOC_218,0,SEC_14,CANAL_17,781.0,0.0
4f21107b052c,d80cb8b16eb9,2022-02-24,1,658.0,2022-03-25,2024-01-12,100000.0,PAGO,LOC_301,1,SEC_21,CANAL_17,658.0,0.0
12dbdc4604f0,a80401d94111,2022-03-01,1,7.0,2022-03-30,2022-04-06,105000.0,PAGO,LOC_218,1,SEC_24,CANAL_17,7.0,1.0
febef1831948,5d24ef9838f2,2022-02-28,1,0.0,2022-03-27,2022-03-24,105000.0,PAGO,LOC_337,0,SEC_22,CANAL_17,0.0,1.0
fd28f0b63ab9,189f5a3ac692,2022-02-25,1,0.0,2022-03-27,2022-03-22,105000.0,PAGO,LOC_218,0,SEC_64,CANAL_17,0.0,1.0
c9d31bbab39f,a4c29193b89b,2022-03-04,1,2.0,2022-04-02,2022-04-04,187800.0,ACTIVO,LOC_218,0,SEC_22,CANAL_06,713.0,0.0
c9d31bbab39f,a4c29193b89b,2022-03-04,2,51.0,2022-05-02,2022-06-22,161500.0,ACTIVO,LOC_218,0,SEC_22,CANAL_06,713.0,0.0
