credito_id_anon,max_dias_retraso,target
03f3689bc7c3,360.0,0.0
03f6c03c95b8,55.0,
03fa5a5ff2f0,0.0,1.0
0405a7b8ef03,3.0,1.0
0409a4a24880,17.0,1.0
040c5f0c0949,17.0,1.0
0415a6fe87e0,375.0,0.0
041d94053bf5,511.0,0.0
04214c78a401,20.0,1.0
042c0a20ed5b,5.0,1.0
042c14128a01,14.0,1.0
042cc6dbd677,541.0,0.0
042fea6cdcd4,55.0,
0430210ef681,511.0,0.0
04385fbd320b,1.0,1.0
043c71910f65,526.0,0.0
043ce5c6ee49,28.0,1.0
0447f069c0e5,464.0,0.0
0447fade70d9,20.0,1.0
044bd298003a,15.0,1.0
044d2d576e2b,11.0,1.0
0456d36e2858,12.0,1.0
0460dd26205d,390.0,0.0
04642681699c,0.0,1.0
04695431612d,9.0,1.0
0486f9fc3174,25.0,1.0
048e6eafb532,70.0,0.0
0490ffb008b6,9.0,1.0
049319100448,1.0,1.0
0496a1ae75a5,526.0,0.0
04987a893bbe,480.0,0.0
04a31927b3db,25.0,1.0
04a448186324,526.0,0.0
04b4d9b29c70,0.0,1.0
04d2ec37cd1a,0.0,1.0
04d4cde06c5e,0.0,1.0
04deecafb00c,252.0,0.0
04e75b34f55a,3.0,1.0
04fccc1a3d78,592.0,0.0
04fd60a19855,541.0,0.0
04ffdd9f446c,30.0,1.0
050085148960,39.0,
050ca6b1905a,176.0,0.0
051518329383,464.0,0.0
0520eda5107b,79.0,0.0
052d64897d41,511.0,0.0
053328e035d3,14.0,1.0
05381d2fe081,6.0,1.0
053d6e34e9fb,436.0,0.0
053fa3b28392,390.0,0.0
05474251c9fd,252.0,0.0
054af225134d,2.0,1.0
055c39c735d9,546.0,0.0
055d94c5c197,511.0,0.0
05606d7a38a0,32.0,
05640775082a,3.0,1.0
057356d7148f,1.0,1.0
057898d1ac53,526.0,0.0
0580bb3f5f06,299.0,0.0
058238e1bf6d,0.0,1.0
0584861c98f1,99.0,0.0
058c2c1de9ee,0.0,1.0
059443bc3807,421.0,0.0
05993da28690,0.0,1.0
059c5fd0e326,0.0,1.0
05a380b4ac50,344.0,0.0
05b505c22b8d,0.0,1.0
05bfd20e9382,0.0,1.0
05c30472e942,375.0,0.0
05d080c52031,344.0,0.0
05d089a10eb3,25.0,1.0
05d31b1742b8,449.0,0.0
05e067a79ebb,0.0,1.0
05e0c7931e52,1.0,1.0
05e99a891a38,805.0,0.0
05eca5830782,4.0,1.0
05ed1bdc7b0f,7.0,1.0
05ee0c26acf1,3.0,1.0
05f4390462b4,176.0,0.0
05fcc8c00d49,9.0,1.0
060102028945,0.0,1.0
0603d828798f,222.0,0.0
060ad55035fe,0.0,1.0
0610fd99967b,1.0,1.0
06129b7bada0,464.0,0.0
062404f1137f,24.0,1.0
063ad154bfad,2.0,1.0
063e5c3a29f5,0.0,1.0
064820a3f744,207.0,0.0
06527d040135,421.0,0.0
06683a0dd267,6.0,1.0
0675f8c4465c,587.0,0.0
06768a10bbf1,390.0,0.0
067778d91d48,1.0,1.0
06782ff4604c,3.0,1.0
06797c6a7de8,8.0,1.0
067a6f02cb09,495.0,0.0
067ea9c0c1ae,592.0,0.0
068199b3effa,0.0,1.0
068d2c1934f2,0.0,1.0
068dbcda29ec,9.0,1.0
0694c81ad335,39.0,
0699e16656ea,161.0,0.0
069b9e4a8329,360.0,0.0
06ac3b5aaf64,495.0,0.0
06ac3dce376f,556.0,0.0
06b52da428ff,191.0,0.0
06b5ed6cc9e9,0.0,1.0
06bfb3644c85,0.0,1.0
06c823f49fe4,0.0,1.0
06cdaf12e429,0.0,1.0
06d034dc64d0,511.0,0.0
